1,"T1030005007532",01,0,2,1,1,2023-10-01,2023-10-06,,,"",,,"",,,"","宮代町商工会","",,,"",""
2,"T1700150000232",01,0,2,1,1,2023-10-01,2022-02-14,,,"",,,"",,,"","ＡＢＡＣ日本支援協議会","",,,"",""
3,"T1700150000629",01,0,2,1,1,2023-10-01,2023-03-10,,,"",,,"",,,"","謙慎書道会","",,,"",""
4,"T1700150001156",01,0,2,1,1,2023-10-01,2021-12-10,,,"",,,"",,,"","地方職員共済組合　年金友の会","",,,"",""
5,"T1700150001255",01,0,2,1,1,2023-10-01,2022-06-03,,,"",,,"",,,"","東京連合産經会","",,,"",""
6,"T1700150001362",01,0,2,1,1,2023-10-01,2021-12-06,,,"",,,"",,,"","日本林道協会","",,,"",""
7,"T1700150001370",01,0,2,1,1,2023-10-01,2022-11-07,,,"",,,"",,,"","日経広告研究所","",,,"",""
8,"T1700150002328",01,0,2,1,1,2023-10-01,2023-11-06,,,"",,,"",,,"","パレ・ドール九段下管理組合","",,,"",""
9,"T1700150002897",01,0,2,1,1,2023-10-01,2022-05-30,,,"",,,"",,,"","チーズ普及協議会","",,,"",""
10,"T1700150002939",01,0,2,1,1,2023-10-01,2022-08-08,,,"",,,"",,,"","全国簡易水道協議会","",,,"",""
11,"T1700150002996",01,0,2,1,1,2023-10-01,2022-12-05,,,"",,,"",,,"","日米経済協議会","",,,"",""
12,"T1700150003078",01,0,2,1,1,2023-10-01,2022-03-15,,,"",,,"",,,"","全国町村会","",,,"",""
13,"T1700150003202",01,0,2,1,1,2023-10-01,2022-06-06,,,"",,,"",,,"","森林施業プランナー協会","",,,"",""
14,"T1700150003219",01,0,2,1,1,2023-10-01,2022-06-07,,,"",,,"",,,"","全日本写真材料商組合連合会","",,,"",""
15,"T1700150003301",01,0,2,1,1,2023-10-01,2023-06-14,,,"",,,"",,,"","東京都電気工事工業組合　銀座地区本部","",,,"",""
16,"T1700150003433",01,0,2,1,1,2023-10-01,2022-09-08,,,"",,,"",,,"","在日本韓国ＹＭＣＡアジア青少年センター","",,,"",""
17,"T1700150003490",01,0,2,1,1,2023-10-01,2023-11-30,,,"",,,"",,,"","東京労働福祉協会","",,,"",""
18,"T1700150003532",01,0,2,1,1,2023-10-01,2023-04-19,,,"",,,"",,,"","日本専門薬局　同志会","",,,"",""
19,"T1700150003648",01,0,2,1,1,2023-10-01,2022-03-11,,,"",,,"",,,"","経営戦略研究所","",,,"",""
20,"T1700150003730",01,0,2,1,1,2023-10-01,2022-05-31,,,"",,,"",,,"","全国賃貸管理ビジネス協会　関東支部","",,,"",""
21,"T1700150003920",01,0,2,1,1,2023-10-01,2023-04-10,,,"",,,"",,,"","リガーレ日本橋人形町団地管理組合","",,,"",""
22,"T1700150004233",01,0,2,1,1,2023-10-01,2023-08-18,,,"",,,"",,,"","佃スカイハイツ管理組合","",,,"",""
23,"T1700150004282",01,0,2,1,1,2023-10-01,2022-06-27,,,"",,,"",,,"","日本エムエッチ協会","",,,"",""
24,"T1700150004794",01,0,2,1,1,2023-10-01,2023-01-18,,,"",,,"",,,"","企業年金連合会","",,,"",""
25,"T1700150004893",01,0,2,1,1,2023-10-01,2022-12-01,,,"",,,"",,,"","全国特別支援学校知的障害教育校ＰＴＡ連合会","",,,"",""
26,"T1700150005132",01,0,2,1,1,2023-10-01,2023-06-01,,,"",,,"",,,"","日本化粧品工業会","",,,"",""
27,"T1700150005272",01,0,2,1,1,2023-10-01,2025-06-25,,,"",,,"",,,"","Ｆｕｊｉｔｓｕユーザーコミュニティ","",,,"",""
28,"T1700150005289",01,0,2,1,1,2023-10-01,2023-02-15,,,"",,,"",,,"","法然上人鑽仰会","",,,"",""
29,"T1700150005470",01,0,2,1,1,2023-10-01,2023-10-17,,,"",,,"",,,"","電機連合労働保険連絡会","",,,"",""
30,"T1700150005537",01,0,2,1,1,2023-10-01,2023-11-13,,,"",,,"",,,"","ジャパン　レディース　ボウリング　クラブ","",,,"",""
31,"T1700150005553",01,0,2,1,1,2023-10-01,2022-12-05,,,"",,,"",,,"","日本エネルギー法研究所","",,,"",""
32,"T1700150005735",01,0,2,1,1,2023-10-01,2022-12-15,,,"",,,"",,,"","都道府県選挙管理委員会連合会","",,,"",""
33,"T1700150005743",01,0,2,1,1,2024-10-15,2024-10-18,,,"",,,"",,,"","藤和シティホームズ新宿余丁町管理組合","",,,"",""
34,"T1700150005801",01,0,2,1,1,2023-10-01,2023-03-02,,,"",,,"",,,"","パシフィック西早稲田管理組合","",,,"",""
35,"T1700150006221",01,0,2,1,1,2023-10-01,2022-09-08,,,"",,,"",,,"","東京寺院センター","",,,"",""
36,"T1700150006691",01,0,2,1,1,2023-10-01,2022-11-18,,,"",,,"",,,"","全国高等学校長協会　入試点訳事業部","",,,"",""
37,"T1700150006709",01,0,2,1,1,2023-10-01,2022-12-15,,,"",,,"",,,"","特定失踪者問題調査会","",,,"",""
38,"T1700150006725",01,0,2,1,1,2023-10-01,2023-08-25,,,"",,,"",,,"","日本プロボクシング協会","",,,"",""
39,"T1700150006790",01,0,2,1,1,2023-10-01,2022-10-17,,,"",,,"",,,"","ＩＣＤ制度協議会","",,,"",""
40,"T1700150007070",01,0,2,1,1,2023-10-01,2022-08-01,,,"",,,"",,,"","東京ホームレス就業支援事業推進協議会","",,,"",""
41,"T1700150007095",01,0,,,0,2023-10-01,2025-10-28,,,"",,,"",,,"","","",,,"",""
42,"T1700150007095",03,0,2,1,1,2023-10-01,2025-10-28,,2025-08-28,"",,,"",,,"","遊技場メダル自動補給装置工業会","",,,"",""
43,"T1700150007277",01,0,2,1,1,2024-04-15,2024-04-15,,,"",,,"",,,"","いすゞ自動車販売店協会","",,,"",""
44,"T1700150007343",01,0,2,1,1,2023-10-01,2023-06-01,,,"",,,"",,,"","潮路東ハイツ住宅管理組合","",,,"",""
45,"T1700150007418",01,0,2,1,1,2023-10-01,2023-11-13,,,"",,,"",,,"","日本税理士共済会","",,,"",""
46,"T1700150007970",01,0,2,1,1,2023-10-01,2023-11-13,,,"",,,"",,,"","玉川納税貯蓄組合連合会","",,,"",""
47,"T1700150008060",01,0,2,1,1,2025-10-01,2025-09-17,,,"",,,"",,,"","ジオ目黒管理組合","",,,"",""
48,"T1700150008226",01,0,2,1,1,2023-10-01,2023-04-20,,,"",,,"",,,"","教育習字普及連盟","",,,"",""
49,"T1700150008358",01,0,2,1,1,2023-10-01,2022-08-04,,,"",,,"",,,"","全国スバル自動車販売協会","",,,"",""
50,"T1700150008449",01,0,2,1,1,2023-10-01,2022-12-07,,,"",,,"",,,"","テラス渋谷美竹全体管理組合","",,,"",""
51,"T1700150008663",01,0,2,1,1,2023-10-01,2022-04-28,,,"",,,"",,,"","東京国際空港バスプール管理運営協議会","",,,"",""
52,"T1700150008738",01,0,2,1,1,2023-10-01,2022-12-13,,,"",,,"東京都豊島区巣鴨５－１４－６",13,116,"","日本スノーボード協会","",,,"",""
